Cell_Type,TF_motif,Mean_in_class,Mean_other,Cohens_d,RankBiserial_AUC,p_value,n_in_class,FDR,Significant,Assoc_Strength
B cells,HNF1A,0.35160390877932324,-0.046805260939422465,0.4072885679325978,0.6178909389501209,9.709351244176273e-29,818,2.8570207370136147e-28,False,0.0
B cells,TFAP2A(var.2),0.3025187598586558,-0.03841150585498223,0.4070375817166937,0.6173149533048422,1.7830156460625702e-28,818,5.193723041014514e-28,False,0.0
B cells,TGIF2,0.37710739634485907,-0.05652141469873798,0.404310577872982,0.6150272615830299,1.9364379475492457e-27,818,5.521372752490661e-27,False,0.0
B cells,CTCF,0.6022608610747054,-0.19737961915130353,0.4022297683251096,0.6046958544364539,5.1892866203939994e-23,818,1.3493479219867688e-22,False,0.0
B cells,FOXA1,0.39818485325349984,-0.05801861848240416,0.39963732781881955,0.6171368070924882,2.1504979023896794e-28,818,6.250656977779198e-28,False,0.0
B cells,NEUROG2,0.3715167269243583,-0.05025500397951907,0.3963926044577042,0.6179262002486074,9.353823857719035e-29,818,2.754408393619448e-28,False,0.0
B cells,HESX1,0.3560746037385988,-0.0386890022393143,0.3940410438675361,0.608571224450123,1.2648306546588324e-24,818,3.38907604552956e-24,False,0.0
B cells,DRGX,0.3529456199465567,-0.043907841816524025,0.38978425583500576,0.6076432390599522,3.115536229458131e-24,818,8.282167926667278e-24,False,0.0
B cells,TFAP2A(var.3),0.2905507781998294,-0.05308084972081457,0.3891612414220237,0.60930941206844,6.141129457876543e-25,818,1.659786892890347e-24,False,0.0
B cells,EMX2,0.35787156136101017,-0.03280322522675993,0.3853609378848163,0.6037168168184742,1.2987351301631737e-22,818,3.3341892998986044e-22,False,0.0
B cells,HNF1B,0.3452340065513401,-0.049096926413560386,0.3828856930531038,0.6092099138827105,6.771175202975097e-25,818,1.8264116580824828e-24,False,0.0
B cells,SP9,0.22308892853463827,-0.03129602067841103,0.3814903309397402,0.6078468347312138,2.5581259345504505e-24,818,6.818298768900607e-24,False,0.0
B cells,PRDM4,0.368412750078273,-0.036058343333941985,0.38088967895008125,0.6107491462166467,1.4799526592264435e-25,818,4.0540883271700677e-25,False,0.0
B cells,OSR1,0.32644589936595403,-0.056687881459179065,0.3800877395941476,0.6083782071684074,1.526632991178895e-24,818,4.08515680046945e-24,False,0.0
B cells,TFAP4(var.2),0.3759722883769566,-0.04747334398964445,0.379933126699164,0.6096161853652733,4.541851004025661e-25,818,1.2300086454007917e-24,False,0.0
B cells,PLAGL2,0.27739499148361757,-0.08066302140826177,0.3768088139963241,0.611382316489471,7.869497308501015e-26,818,2.179328275851821e-25,False,0.0
B cells,FERD3L,0.3261756673746582,-0.05263187968630557,0.3752311077190535,0.6110461076739011,1.1010069572586448e-25,818,3.032453471115369e-25,False,0.0
B cells,POU4F1,0.3196246962106958,-0.04111385113664748,0.37220705600438697,0.6039104473401636,1.0839643830198157e-22,818,2.7916740252693666e-22,False,0.0
B cells,SREBF2,0.35573710976472206,-0.025317213895707725,0.36622548159102064,0.5993537677157363,6.989304163407988e-21,818,1.7274724890133607e-20,False,0.0
B cells,GSX1,0.3409372306471819,-0.026735733294009606,0.36437820349614825,0.6015497800614834,9.601391506217592e-22,818,2.4128714306929425e-21,False,0.0
B cells,VEZF1,0.3153013969120394,-0.07529679122629775,0.36366873085890206,0.6081580540178563,1.8912502977809023e-24,818,5.057500796312975e-24,False,0.0
B cells,SPIC,1.3924270996273422,-0.0751433090007246,0.3572322233329941,0.6037234091481912,1.290773835159834e-22,818,3.317961205245672e-22,False,0.0
B cells,TBX18,0.38783324906632716,-0.06827722905070338,0.355427981035036,0.6261178598170215,1.1966695156179987e-32,818,3.7708137540423856e-32,False,0.0
B cells,POU4F3,0.3054236708403634,-0.034585757798755105,0.35398389415716675,0.598796945819635,1.1484092777128686e-20,818,2.819456272831472e-20,False,0.0
B cells,RREB1,0.3031113182235476,-0.08638091322092178,0.3511208377883049,0.6032145732800305,2.0724370071091475e-22,818,5.29695523105724e-22,False,0.0
B cells,ATOH7,0.34351260712969073,-0.038547734364534327,0.3509487519316184,0.6031199810140904,2.262553227944721e-22,818,5.77557751436236e-22,False,0.0
B cells,GBX2,0.3236165661504336,-0.03143761531866054,0.3496715569750756,0.5970466056247596,5.374028490263197e-20,818,1.3012159947100476e-19,False,0.0
B cells,TFAP2C(var.3),0.24626742433144172,-0.06761892460129187,0.34717591590088187,0.5993425760862167,7.059602518064003e-21,818,1.743782160444869e-20,False,0.0
B cells,PRDM1,0.3162249218471384,-0.03276857191934193,0.3470541992588325,0.5994874540299985,6.201251591646284e-21,818,1.53645217022663e-20,False,0.0
B cells,ESX1,0.31411379104513854,-0.03245759334131062,0.3456161656619438,0.5942948445528653,5.757948756679312e-19,818,1.3591984054565052e-18,False,0.0
B cells,NKX6-2,0.3132522395707459,-0.0311499789690764,0.3434819742689024,0.5954842234818172,2.0827691143233646e-19,818,4.983373055323674e-19,False,0.0
B cells,TCFL5,0.24309408312113176,-0.1406944128133175,0.34157891833285087,0.6004683313678992,2.5656036491783375e-21,818,6.39583016917779e-21,False,0.0
B cells,BARHL2,0.3094977984211955,-0.057879649029895265,0.3397677315548302,0.5992763461690592,7.490159477181072e-21,818,1.8490045908892385e-20,False,0.0
B cells,KLF16,0.20684165237413005,-0.028595830062576218,0.3383308612390202,0.5968727520922215,6.255021196148953e-20,818,1.5127206072694958e-19,False,0.0
B cells,TFAP2B(var.3),0.24091398190823812,-0.05849749860994835,0.33818262282665923,0.5947857431517959,3.79007654482388e-19,818,9.00449189686284e-19,False,0.0
B cells,OVOL1,0.27621279741080845,-0.06692153574672888,0.3328840970647455,0.5963493517746858,9.863144373907129e-20,818,2.3697317183389694e-19,False,0.0
B cells,MGA,0.3789743191846357,-0.04512468579973001,0.3302006478586299,0.6221977232852737,9.399808875305839e-31,818,2.865985434023167e-30,False,0.0
B cells,TGIF2LX,0.29286308953005685,-0.051658620397155394,0.3279336443355974,0.5922742188395905,3.1488659415880962e-18,818,7.292679793740949e-18,False,0.0
B cells,EMX1,0.29229645681554767,-0.032415905518867125,0.3180043604228438,0.5901260392117904,1.8429862332930552e-17,818,4.172760100673588e-17,False,0.0
B cells,HOXA2,0.2859562213236741,-0.0354961946316151,0.31577325175587495,0.5889113641339242,4.916207757091868e-17,818,1.0982389974809338e-16,False,0.0
B cells,SHOX,0.29525483695903404,-0.022140449251479732,0.314565259188302,0.5880608002904304,9.697438854203007e-17,818,2.1522675591939314e-16,False,0.0
B cells,FOXA2,0.3293705104815216,-0.05871912058488741,0.314030109612857,0.5912025819855852,7.64124245648198e-18,818,1.7486689467718378e-17,False,0.0
B cells,TFAP2C,0.25843200565539015,-0.028518470906658808,0.3139615141850922,0.5865749198342044,3.1291713518934815e-16,818,6.850988793160728e-16,False,0.0
B cells,TFAP2E,0.23191309570585963,-0.035959044612273935,0.3082794298730768,0.5842887612123264,1.82718569136266e-15,818,3.897097157223681e-15,False,0.0
B cells,ZNF148,0.13589253865739773,-0.029110925263414432,0.30765649186131694,0.5928371731354285,1.9685353889779888e-18,818,4.5826778963204506e-18,False,0.0
B cells,EGR4,0.24238121602385082,-0.07514001917588525,0.3064244681731972,0.5870701111129508,2.1223107244475297e-16,818,4.674398035446219e-16,False,0.0
B cells,GLI2,0.2468412455513905,-0.05272432803334559,0.3039524283396162,0.5878982916974054,1.1033437169211719e-16,818,2.446097906116746e-16,False,0.0
