TF,CellType,MeanExpression,DetectionRate,Significance
EBF1,Monocyte,-0.23765602578445102,0.01834862385321101,44.743669730559915
EBF1,NK_cell,-0.2776421520064658,0.0,4.665524459303807
EBF1,B_cell,2.5271775167026522,0.7526881720430108,1808.2275444495938
EBF1,HSC_-G-CSF,-0.2776421520064658,0.0,0.0
EBF1,Pre-B_cell_CD34-,-0.2776421520064658,0.0,0.0
ZEB2,T_cells,-0.8645922986683061,0.12993039443155452,1222.4758565236564
ZEB2,Monocyte,0.859624520393093,0.9380733944954128,1245.6707149596787
ZEB2,NK_cell,0.2652494761938388,0.6491228070175439,4.25662502470386
ZEB2,B_cell,-0.21438421098295246,0.46236559139784944,4.71471888805771
ZEB2,HSC_-G-CSF,1.2743473879295975,1.0,0.0
ZEB2,Pre-B_cell_CD34-,0.037602179052681504,0.3333333333333333,0.0
NCR1,T_cells,-0.12740564072347446,0.009280742459396751,12.219093555989067
NCR1,Monocyte,-0.16752414836402033,0.0022935779816513763,21.752453187438036
NCR1,NK_cell,2.544504470079623,0.47368421052631576,631.6394018427175
NCR1,B_cell,-0.1743305607755938,0.0,0.0
NCR1,HSC_-G-CSF,-0.17433056077559378,0.0,0.0
NCR1,Pre-B_cell_CD34-,-0.17433056077559375,0.0,0.0
EGR1,T_cells,-0.16617903593610428,0.013921113689095127,20.964188136055334
EGR1,Monocyte,0.21668569359443096,0.10091743119266056,36.92262284477682
EGR1,NK_cell,-0.2169329096840623,0.0,0.0
EGR1,B_cell,-0.1782252546146439,0.010752688172043012,0.0
EGR1,HSC_-G-CSF,3.3695626707473716,0.5,23.224954261920036
EGR1,Pre-B_cell_CD34-,-0.2169329096840623,0.0,0.0
PARVA,T_cells,-0.008589057476029465,0.002320185614849188,0.0
PARVA,Monocyte,-0.05265852166417795,0.0,0.0
PARVA,NK_cell,0.34707248161680976,0.017543859649122806,7.30952607606635
PARVA,B_cell,-0.052658521664177935,0.0,0.0
PARVA,HSC_-G-CSF,5.966542922676613,0.5,76.54215673899265
PARVA,Pre-B_cell_CD34-,-0.05265852166417795,0.0,0.0
PRF1,T_cells,0.0006032818274742485,0.15081206496519722,0.0
PRF1,Monocyte,-0.32608420963221324,0.02522935779816514,87.62787673741207
PRF1,NK_cell,2.899462450854217,0.9298245614035088,1006.1103426669613
PRF1,B_cell,-0.26985239735648864,0.043010752688172046,7.490270711433016
PRF1,HSC_-G-CSF,0.5381297015310039,0.5,0.0
PRF1,Pre-B_cell_CD34-,0.2211182614682076,0.3333333333333333,0.0
LINC01478,T_cells,-0.07011787571088242,0.0069605568445475635,0.0
LINC01478,Monocyte,-0.06514865728995987,0.006880733944954129,0.0
LINC01478,NK_cell,-0.11235579365869205,0.0,0.0
LINC01478,B_cell,0.3678302100479568,0.053763440860215055,14.005050687652352
LINC01478,HSC_-G-CSF,-0.11235579365869205,0.0,0.0
LINC01478,Pre-B_cell_CD34-,10.348800433738552,1.0,469.70845464106765
PRKCH,T_cells,0.8304651685270429,0.9187935034802784,1032.1448273654987
PRKCH,Monocyte,-0.7786803576611867,0.0963302752293578,838.3832572305356
PRKCH,NK_cell,1.158408836500984,0.9824561403508771,87.8083683614109
PRKCH,B_cell,-0.8681443201548267,0.053763440860215055,83.23772358662141
PRKCH,HSC_-G-CSF,-0.9792264194158388,0.0,0.0
PRKCH,Pre-B_cell_CD34-,-0.5864269207345069,0.3333333333333333,0.0
MS4A1,T_cells,-0.27819185831134013,0.01160092807424594,61.011087888374306
MS4A1,Monocyte,-0.25718672023646966,0.022935779816513763,52.79626581131535
MS4A1,NK_cell,-0.30043516994403835,0.0,5.467274637089738
MS4A1,B_cell,2.695280446148589,0.8387096774193549,2719.491508465022
MS4A1,HSC_-G-CSF,-0.30043516994403835,0.0,0.0
MS4A1,Pre-B_cell_CD34-,-0.30043516994403835,0.0,0.0
BANK1,T_cells,-0.3340738000464706,0.030162412993039442,90.37409123881903
BANK1,Monocyte,-0.21186366505918985,0.12155963302752294,35.241442283876864
BANK1,NK_cell,-0.38106242422496694,0.0,8.824315233985274
BANK1,B_cell,2.774983995921223,0.946236559139785,3431.8646786702666
BANK1,HSC_-G-CSF,0.05094515841646907,0.5,0.0
BANK1,Pre-B_cell_CD34-,-0.032159323615999526,0.3333333333333333,0.0
INPP4B,T_cells,0.8548799168386592,0.7726218097447796,1163.9981187146877
INPP4B,Monocyte,-0.6379181906816752,0.05963302752293578,442.94067237623005
INPP4B,NK_cell,-0.5038797951972174,0.15789473684210525,15.52973353924155
INPP4B,B_cell,-0.6237834906042049,0.053763440860215055,41.34188660743246
INPP4B,HSC_-G-CSF,-0.7175800135638587,0.0,0.0
INPP4B,Pre-B_cell_CD34-,-0.7175800135638587,0.0,0.0
DMXL2,T_cells,-0.6914516708817342,0.058004640371229696,546.0242538510593
DMXL2,Monocyte,0.9410121076128546,0.8853211009174312,1969.7906989432386
DMXL2,NK_cell,-0.7835321128031605,0.0,38.37979804171661
DMXL2,B_cell,-0.7235048085776521,0.03225806451612903,56.406121322506664
DMXL2,HSC_-G-CSF,1.0161325983670637,1.0,0.0
DMXL2,Pre-B_cell_CD34-,-0.7835321128031606,0.0,0.0
KCNK17,T_cells,-0.06733482271731929,0.0,0.0
KCNK17,Monocyte,-0.014183084334206855,0.0045871559633027525,0.0
KCNK17,NK_cell,-0.06733482271731929,0.0,0.0
KCNK17,B_cell,0.05646723761137082,0.010752688172043012,0.0
KCNK17,HSC_-G-CSF,-0.06733482271731929,0.0,0.0
KCNK17,Pre-B_cell_CD34-,11.30881160111439,0.6666666666666666,615.9626824021046
AC004870.3,T_cells,-0.03129587719622029,0.0,0.0
AC004870.3,Monocyte,-0.03129587719622029,0.0,0.0
AC004870.3,NK_cell,-0.03129587719622029,0.0,0.0
AC004870.3,B_cell,-0.03129587719622028,0.0,0.0
AC004870.3,HSC_-G-CSF,-0.03129587719622029,0.0,0.0
AC004870.3,Pre-B_cell_CD34-,10.630166287649491,0.3333333333333333,508.5029354207435
AC092969.1,T_cells,0.006898465743044368,0.0069605568445475635,0.0
AC092969.1,Monocyte,-0.07231903733754974,0.0,3.9846261656799036
AC092969.1,NK_cell,-0.07231903733754975,0.0,0.0
AC092969.1,B_cell,0.020074328805834325,0.010752688172043012,0.0
AC092969.1,HSC_-G-CSF,-0.07231903733754974,0.0,0.0
AC092969.1,Pre-B_cell_CD34-,10.319257389297467,0.6666666666666666,465.8075470968562
MYO3B,T_cells,0.005898771855990327,0.009280742459396751,0.0
MYO3B,Monocyte,-0.023166579081103214,0.009174311926605505,0.0
MYO3B,NK_cell,0.1482493032627361,0.017543859649122806,0.0
MYO3B,B_cell,-0.09450285417340472,0.0,0.0
MYO3B,HSC_-G-CSF,4.090160762050038,0.5,34.593596053689765
MYO3B,Pre-B_cell_CD34-,-0.09450285417340472,0.0,0.0
BCL11B,T_cells,0.9947192342544235,0.9466357308584686,2643.668386701501
BCL11B,Monocyte,-0.8008127861367934,0.04357798165137615,930.829689766038
BCL11B,NK_cell,-0.07283881159219338,0.5263157894736842,0.0
BCL11B,B_cell,-0.7918139321231239,0.043010752688172046,68.30695356092663
BCL11B,HSC_-G-CSF,0.4113840791225121,1.0,0.0
BCL11B,Pre-B_cell_CD34-,-0.8672918060180578,0.0,0.0
PLXDC2,T_cells,-0.8202065208792084,0.037122969837587005,982.3942605837466
PLXDC2,Monocyte,1.0702115532768925,0.9793577981651376,5879.991567903928
PLXDC2,NK_cell,-0.6482117466414163,0.15789473684210525,25.95949273784826
PLXDC2,B_cell,-0.8182948152556949,0.043010752688172046,73.28592802793266
PLXDC2,HSC_-G-CSF,1.291174289206432,1.0,0.0
PLXDC2,Pre-B_cell_CD34-,-0.8786959769530093,0.0,0.0
FCN1,T_cells,-0.7454160539800262,0.16009280742459397,694.9101197290044
FCN1,Monocyte,0.9971912031222486,0.9587155963302753,2900.868124685498
FCN1,NK_cell,-0.8383296489471471,0.12280701754385964,44.17645264606657
FCN1,B_cell,-0.7209752256717548,0.16129032258064516,55.9907732207307
FCN1,HSC_-G-CSF,1.2469793177733894,1.0,0.0
FCN1,Pre-B_cell_CD34-,-0.3865059846651409,0.0,0.0
SLC8A1,T_cells,-0.7878595264445613,0.04176334106728538,843.6124263613187
SLC8A1,Monocyte,1.0544319841976897,0.963302752293578,4883.785765987513
SLC8A1,NK_cell,-0.8367924846338672,0.017543859649122806,44.007613743137995
SLC8A1,B_cell,-0.7815623174068631,0.03225806451612903,66.43520648437269
SLC8A1,HSC_-G-CSF,1.0253946944400656,1.0,0.0
SLC8A1,Pre-B_cell_CD34-,-0.6110704861660651,0.0,0.0
CAMK4,T_cells,0.9126763785342029,0.8236658932714617,1578.514307223668
CAMK4,Monocyte,-0.6744081969507556,0.05733944954128441,521.7246744441231
CAMK4,NK_cell,-0.6640226854207659,0.05263157894736842,27.275603101743194
CAMK4,B_cell,-0.6320753644083185,0.07526881720430108,42.49439084014864
CAMK4,HSC_-G-CSF,-0.22549610696990352,0.5,0.0
CAMK4,Pre-B_cell_CD34-,-0.7460837016049203,0.0,0.0
OR5AN1,T_cells,-0.03129587719622029,0.0,0.0
OR5AN1,Monocyte,-0.03129587719622029,0.0,0.0
OR5AN1,NK_cell,-0.03129587719622029,0.0,0.0
OR5AN1,B_cell,-0.03129587719622028,0.0,0.0
OR5AN1,HSC_-G-CSF,-0.03129587719622029,0.0,0.0
OR5AN1,Pre-B_cell_CD34-,10.630166287649493,0.3333333333333333,508.50293542074377
CALN1,T_cells,-0.05129842254283345,0.009280742459396751,0.0
CALN1,Monocyte,0.06199534306161363,0.034403669724770644,0.0
CALN1,NK_cell,0.013292854889079147,0.017543859649122806,0.0
CALN1,B_cell,-0.13972884403358718,0.0,0.0
CALN1,HSC_-G-CSF,3.867963419822286,0.5,30.826597873100095
CALN1,Pre-B_cell_CD34-,-0.13972884403358718,0.0,0.0
OSBPL10,T_cells,-0.27096554569874165,0.0069605568445475635,57.70561575173408
OSBPL10,Monocyte,-0.24780080083080966,0.01834862385321101,48.83190812494808
OSBPL10,NK_cell,-0.24674432759545725,0.017543859649122806,0.0
OSBPL10,B_cell,2.5841159894498476,0.7849462365591398,2056.777777499311
OSBPL10,HSC_-G-CSF,-0.28621219750082794,0.0,0.0
OSBPL10,Pre-B_cell_CD34-,-0.28621219750082794,0.0,0.0
CA8,T_cells,-0.05941757837812129,0.002320185614849188,0.0
CA8,Monocyte,-0.07174732408400719,0.0,3.921633540950752
CA8,NK_cell,-0.07174732408400718,0.0,0.0
CA8,B_cell,0.3455909781873981,0.03225806451612903,12.342865262993092
CA8,HSC_-G-CSF,-0.07174732408400716,0.0,0.0
CA8,Pre-B_cell_CD34-,9.661313577041923,0.6666666666666666,386.5118613332639
RALGPS2,T_cells,-0.239415536527752,0.10904872389791183,44.497872454636656
